,treatment,run_name,long_name,cell_type,concentration,time
0,SF,19664,Serum Free,HEK,pg/uL,6 (hours)
1,FBS,19664,Fetal Bovine Serum,HEK,pg/uL,6 (hours)
2,Forskolin,19664,Forskolin,HEK,pg/uL,6 (hours)
3,ATP,19664,ATP,HEK,pg/uL,6 (hours)
4,GPR91-no-drug,19664,GPR91 no drug,HEK,pg/uL,6 (hours)
5,GPR91-CES,19664,GPR91 CES,HEK,pg/uL,6 (hours)
6,DRD2-no-drug,19664,DRD2 no drug,HEK,pg/uL,6 (hours)
7,DRD2-dopamine,19664,DRD2 dopamine,HEK,pg/uL,6 (hours)
8,DRD2-ropinirole,19664,DRD2 ropinirole,HEK,pg/uL,6 (hours)
9,DNA,19664,DNA,,,
0,SF,19919,Serum Free,HEK,Blank,6 (hours)
1,AICAR,19919,AICAR,HEK,100 uM,6 (hours)
2,Dex,19919,Dexamethasone,HEK,100 nM,6 (hours)
3,CdCl2,19919,CdCl2,HEK,30 uM,6 (hours)
4,ZnS04,19919,ZnS04,HEK,200 uM,6 (hours)
5,HTR2A,19919,5-HT2A,HEK,Blank,6 (hours)
6,5HT2A,19919,5-HT2A + Serotonin,HEK,100 nM,6 (hours)
7,DFX,19919,Deferoxamine,HEK,100 uM,6 (hours)
8,LiCl2,19919,LiCl2,HEK,40 mM,6 (hours)
9,pcDNA,19919,pcDNA,HEK,Blank,6 (hours)
10,PAR1,19919,PAR1,HEK,Blank,6 (hours)
11,Throm,19919,PAR1 + Thrombin,HEK,10 nM,6 (hours)
12,DNA,19919,DNA,,,
0,GFP,20250,GFP,HEK,Blank,6 (hours)
1,pcDNA,20250,pcDNA,HEK,Blank,6 (hours)
2,Thap,20250,Thapsigargin,HEK,2 uM,6 (hours)
3,ADRB2-1,20250,GFP + Epinephrine,HEK,10 nM,6 (hours)
4,ADRB2-2,20250,GFP + Epinephrine,HEK,1 uM,6 (hours)
5,ADRB2-3,20250,ADRB2,HEK,Blank,6 (hours)
6,ADRB2-4,20250,ADRB2 + Epinephrine,HEK,10 nM,6 (hours)
7,ADRB2-5,20250,ADRB2 + Epinephrine,HEK,1 uM,6 (hours)
8,MRG,20250,MRGPRX2,HEK,Blank,6 (hours)
9,3573,20250,MRGPRX2 + (R)-zn3573,HEK,3 uM,6 (hours)
10,Neuro2A-SF,20250,Neuro2a Serum Free,N2A,Blank,6 (hours)
11,Neuro2A-FBS,20250,Neuro2a + Fetal Bovine Serum,N2A,10%,6 (hours)
12,DNA,20250,DNA,,,
